Atlas,Signature,N Targets,Median ρ,Mean ρ,Std ρ,Min ρ,Max ρ,% Significant,% Positive
Cima,CytoSig,43,0.114,0.097,0.266,-0.479,0.673,72.1%,58.1%
Cima,LinCytoSig Best (comb+filt),44,0.006,0.043,0.210,-0.279,0.629,70.5%,52.3%
Cima,LinCytoSig,156,0.131,0.156,0.280,-0.420,0.776,71.8%,69.2%
Cima,SecAct,1161,0.191,0.193,0.264,-0.644,0.920,76.3%,76.1%
Inflammation,CytoSig,42,0.135,0.086,0.444,-0.653,0.800,76.2%,59.5%
Inflammation,LinCytoSig Best (comb+filt),43,0.064,0.052,0.344,-0.811,0.809,47.7%,55.8%
Inflammation,LinCytoSig,155,0.100,0.106,0.409,-0.867,0.835,64.5%,56.8%
Inflammation,SecAct,1118,0.097,0.134,0.338,-0.787,0.936,49.4%,64.1%
Scatlas Normal,CytoSig,1013,0.145,0.127,0.394,-1.000,0.975,29.9%,64.3%
Scatlas Normal,LinCytoSig Best (comb+filt),44,0.140,0.114,0.270,-0.494,0.514,79.5%,65.9%
Scatlas Normal,LinCytoSig,3781,0.115,0.104,0.401,-1.000,1.000,30.1%,61.7%
Scatlas Normal,SecAct,27154,0.307,0.275,0.390,-1.000,1.000,40.9%,75.6%
Scatlas Cancer,CytoSig,295,0.212,0.219,0.324,-0.800,1.000,62.0%,74.9%
Scatlas Cancer,LinCytoSig Best (comb+filt),44,0.066,0.095,0.215,-0.406,0.578,65.9%,70.5%
Scatlas Cancer,LinCytoSig,1079,0.137,0.159,0.364,-0.900,1.000,52.1%,63.9%
Scatlas Cancer,SecAct,7809,0.363,0.336,0.328,-1.000,1.000,71.2%,85.6%
Gtex,CytoSig,43,0.211,0.248,0.247,-0.246,0.614,100.0%,81.4%
Gtex,LinCytoSig,156,0.159,0.147,0.309,-0.635,0.744,98.7%,66.0%
Gtex,SecAct,1132,0.395,0.379,0.281,-0.493,0.869,98.1%,89.8%
Tcga,CytoSig,41,0.238,0.249,0.188,-0.226,0.611,92.7%,92.7%
Tcga,LinCytoSig,152,0.205,0.201,0.292,-0.468,0.736,98.0%,74.3%
Tcga,SecAct,1085,0.415,0.399,0.198,-0.362,0.823,98.8%,97.1%
